Algorithm,Environment,Run,Agent Score Mean,Agent Score Std,Adversary Score Mean,Adversary Score Std,adversary_at_goal_frames Mean,adversary_at_goal_frames Std,adversary_reward Mean,adversary_reward Std,agent_reward Mean,agent_reward Std,agent_success Mean,agent_success Std,agent_wins Mean,agent_wins Std,bob_reward Mean,bob_reward Std,bob_success Mean,bob_success Std,eve_reward Mean,eve_reward Std,eve_success Mean,eve_success Std,num_catches Mean,num_catches Std,num_collisions Mean,num_collisions Std,prey_survival_rate Mean,prey_survival_rate Std,total_reward Mean,total_reward Std
maddpg_geometric,simple_v3,1,-8.800058176574435,8.288274409352795,,,,,,,,,,,,,,,,,,,,,,,,,,,-8.800058176574435,8.288274409352795
maddpg_geometric,simple_world_comm_v3,1,-16.240936327439275,13.471022538740186,44.067699916496935,49.03499894428402,9.764,9.107815544904277,44.067699916496935,49.03499894428402,-16.240936327439275,13.471022538740186,,,,,,,,,,,,,0.324,1.5820948138465027,,,,,,
maddpg_prev_action,simple_adversary_v3,1,9.140563791904745,10.800319068194908,-13.339587940070837,5.926082262189779,0.0,0.0,-13.339587940070837,5.926082262189779,9.140563791904745,10.800319068194906,0.96,0.19595917942265426,,,,,,,,,,,,,,,,,,
maddpg_prev_action,simple_crypto_v3,1,6.684,15.231944852841346,-5.016,6.3648836595809035,,,,,,,,,,,3.342,7.615972426420673,0.503,0.4999909999189985,-5.016,6.3648836595809035,0.0,0.0,,,,,,,,
maddpg_prev_action,simple_push_v3,1,-10.342107347667719,5.703373046253098,-0.552830631793145,5.7301658142574725,,,-0.552830631793145,5.7301658142574725,-10.342107347667719,5.703373046253098,,,0.137,0.34384734985164567,,,,,,,,,,,,,,,,
maddpg_prev_action,simple_reference_v3,1,-61.00027691656635,22.05610865898595,,,,,,,,,,,,,,,,,,,,,,,,,,,-61.00027691656635,22.05610865898595
maddpg_prev_action,simple_speaker_listener_v4,1,-33.49531870594024,24.323433297571622,,,,,,,,,,,,,,,,,,,,,,,,,,,-33.49531870594024,24.323433297571615
maddpg_prev_action,simple_spread_v3,1,-58.78286909992232,17.155488322471182,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,
maddpg_prev_action,simple_tag_v3,1,-12.5185083147146,16.20131460819082,20.19,38.231713275761,,,,,,,,,,,,,,,,,,,0.635,1.163518371148475,0.0,0.0,0.9745999999999999,0.04654073484593899,,
maddpg_prev_action,simple_v3,1,-8.519964588277787,8.129901817879894,,,,,,,,,,,,,,,,,,,,,,,,,,,-8.519964588277787,8.129901817879894
maddpg_prev_action,simple_world_comm_v3,1,-13.588295781993304,12.62246047268024,35.87440891768351,46.21298128337052,8.26,8.493550494345696,35.87440891768351,46.21298128337052,-13.588295781993304,12.62246047268024,,,,,,,,,,,,,0.292,1.372128273886957,,,,,,
ppo,simple_adversary_v3,1,14.593196924606428,13.70612792550525,-15.56577531931346,7.019301999854643,0.0,0.0,-15.56577531931346,7.019301999854643,14.593196924606428,13.70612792550525,0.978,0.14668333238647124,,,,,,,,,,,,,,,,,,
ppo,simple_crypto_v3,1,22.828,43.28013881678292,-12.444,21.062641429792226,,,,,,,,,,,11.414,21.64006940839146,0.239,0.42647274238806865,-12.444,21.062641429792226,0.0,0.0,,,,,,,,
ppo,simple_push_v3,1,-7.682633281981747,5.3098870684710215,-6.860834106493845,8.571483100715424,,,-6.860834106493845,8.571483100715424,-7.682633281981747,5.3098870684710215,,,0.487,0.49983097142934235,,,,,,,,,,,,,,,,
ppo,simple_reference_v3,1,-37.152248269323174,12.225803993250006,,,,,,,,,,,,,,,,,,,,,,,,,,,-37.152248269323174,12.225803993250006
ppo,simple_speaker_listener_v4,1,-29.843679621417543,21.829520815064352,,,,,,,,,,,,,,,,,,,,,,,,,,,-29.84367962141754,21.829520815064356
ppo,simple_spread_v3,1,-58.77658604616009,16.04874785756308,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,
ppo,simple_tag_v3,1,-61.82886290204638,32.646454418454866,168.81,96.96021813094275,,,,,,,,,,,,,,,,,,,5.203,2.842497317500933,0.0,0.0,0.7918800000000001,0.11369989270003733,,
ppo,simple_v3,1,-7.364051834862305,8.29859031469842,,,,,,,,,,,,,,,,,,,,,,,,,,,-7.364051834862305,8.29859031469842
ppo,simple_world_comm_v3,1,-33.297168780613994,28.682018154378614,63.18455565136646,67.71806989379238,12.488,11.384983794454868,63.18455565136645,67.71806989379238,-33.297168780613994,28.682018154378614,,,,,,,,,,,,,1.292,3.201677060541866,,,,,,
reinforce,simple_adversary_v3,1,16.05722692824726,20.921219926126042,-19.670705172257758,9.731238586740623,0.0,0.0,-19.670705172257758,9.731238586740623,16.05722692824726,20.921219926126042,0.941,0.23562470159132295,,,,,,,,,,,,,,,,,,
reinforce,simple_crypto_v3,1,-0.004,0.1264278450342329,-23.248,24.936609553024645,,,,,,,,,,,-0.002,0.06321392251711645,0.0,0.0,-23.248,24.936609553024645,0.0,0.0,,,,,,,,
